Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Adaptation,22498520,22498520,,18500000,Dec 06 2002,R,Adapted screenplay,Comedy,Fiction,91,7.9,67135
Drive Me Crazy,17843379,22591451,,8000000,Oct 01 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,26,5.1,6968
The Juror,22730924,22730924,,44000000,Feb 02 1996,R,Adapted screenplay,Horror/Thriller,Fiction,16,5.3,6482
Beloved,22852487,22852487,,53000000,Oct 16 1998,R,Adapted screenplay,Drama,Fiction,77,5.3,102
Alatriste,0,22860477,,28000000,Dec 31 2007,,Adapted screenplay,Action/Adventure,Fiction,,5.9,4944
Ella Enchanted,22913677,22913677,,35000000,Apr 09 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,49,6.3,12020
Aquamarine,18597342,22978953,29637202,17000000,Mar 03 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,52,4.6,9116
The Best Years of Our Lives,23600000,23600000,,2100000,Nov 21 2046,,Adapted screenplay,Drama,,97,8.2,17338
In the Cut,4717455,23693646,,12000000,Oct 22 2003,R,Adapted screenplay,Horror/Thriller,Fiction,34,5.2,11590
The Road,8114270,23914270,6599387,25000000,Nov 25 2009,R,Adapted screenplay,Drama,Fiction,75,7.5,39124
25th Hour,13084595,23928503,,4500000,Dec 19 2002,R,Adapted screenplay,Drama,Fiction,78,7.9,58781
Trainspotting,16501785,24000785,,3100000,Jul 19 1996,R,Adapted screenplay,Drama,Fiction,89,8.2,150483
The Action/Adventures of Huck Finn,24103594,24103594,,6500000,Apr 02 1993,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,62,5.8,3095
The Shipping News,11405825,24405825,,35000000,Dec 25 2001,R,Adapted screenplay,Drama,Fiction,55,6.7,17338
Catch-22,24911670,24911670,,18000000,Jun 24 1970,,Adapted screenplay,Comedy,Fiction,87,7.1,9671
Mommie Dearest,19032000,25032000,,5000000,Sep 18 1981,,Adapted screenplay,Drama,Non-Fiction,57,6.3,4905
Midnight in the Garden of Good and Evil,25078937,25078937,,35000000,Nov 21 1997,R,Adapted screenplay,Drama,Fiction,50,6.5,18960
The Outsiders,25697647,25697647,,10000000,Mar 25 1983,PG/PG-13,Adapted screenplay,Drama,Fiction,65,7,23607
Carrie,25878153,25878153,,1800000,Nov 16 1976,,Adapted screenplay,Horror/Thriller,Fiction,90,7.4,38767
Appaloosa,20211394,26111394,10698987,20000000,Sep 19 2008,R,Adapted screenplay,Western/Musical,Fiction,76,6.8,22836
Blood Work,26199517,26199517,,50000000,Aug 09 2002,R,Adapted screenplay,Horror/Thriller,Fiction,54,6.3,16751
The Box,15051977,26341896,3907625,25000000,Nov 06 2009,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,45,6.8,418
Conan the Destroyer,26400000,26400000,,18000000,Jun 29 1984,,Adapted screenplay,Action/Adventure,Fiction,29,5.4,20368
Harriet the Spy,26570048,26570048,,13000000,Jul 10 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,45,5.8,2963
Glory,26593580,26593580,,18000000,Dec 14 1989,,Adapted screenplay,Action/Adventure,Non-Fiction,93,8,56427
Oliver Twist,2070920,26670920,,65000000,Sep 23 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,59,7,10748
Timeline,19480739,26703184,,80000000,Nov 26 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,11,5.3,19318
One True Thing,23337196,26708196,,30000000,Sep 18 1998,R,Adapted screenplay,Drama,Fiction,88,6.9,5591
Eye for an Eye,26792700,26792700,,20000000,Jan 12 1996,R,Adapted screenplay,Drama,Fiction,,5.7,4837
The Musketeer,27053815,27053815,,40000000,Sep 07 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,10,4.4,7812
Fast Times at Ridgemont High,27092880,27092880,,4500000,Aug 13 1982,,Adapted screenplay,Comedy,Fiction,80,7.2,31362
Dune,27447471,27447471,,45000000,Dec 14 1984,,Adapted screenplay,Action/Adventure,Fiction,62,6.5,38489
Tailor of Panama,13491653,27491653,,18000000,Mar 30 2001,R,Adapted screenplay,Horror/Thriller,Fiction,,,
The Island of Dr. Moreau,27682712,27682712,,40000000,Aug 23 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,23,4.1,13770
To Die For,21284514,27688744,,20000000,Sep 27 1995,R,Adapted screenplay,Comedy,Fiction,87,6.8,18459
An American Haunting,16298046,27844063,9905802,14000000,May 05 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,12,4.9,13510
"20,000 Leagues Under the Sea",28200000,28200000,,5000000,Dec 23 1954,,Adapted screenplay,Action/Adventure,,92,,
The Wizard of Oz,28202232,28202232,,2777000,Aug 25 2039,G,Adapted screenplay,Western/Musical,Fiction,,8.3,102795
The Shawshank Redemption,28241469,28241469,,25000000,Sep 23 1994,R,Adapted screenplay,Drama,Fiction,88,9.2,519541
American Psycho,15070285,28674417,,8000000,Apr 14 2000,R,Adapted screenplay,Comedy,Fiction,66,7.4,99424
Cidade de Deus,7563397,28763397,,3300000,Jan 17 2003,R,Adapted screenplay,Drama,Fiction,,8.8,166897
The Player,21706101,28876702,,8000000,Apr 10 1992,R,Adapted screenplay,Comedy,Fiction,,7.7,24451
The Object of my Affection,29145924,29145924,,15000000,Apr 17 1998,R,Adapted screenplay,Comedy,Fiction,50,5.9,8492
The Pledge,19719930,29406132,,45000000,Jan 19 2001,R,Adapted screenplay,Drama,Fiction,77,6.9,22609
Battlefield Earth: A Saga of the Year 3000,21471685,29725663,,80000000,May 12 2000,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,2.3,39316
The Four Feathers,18306166,29882645,,35000000,Sep 20 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,41,6.3,13204
Queen of the Damned,30307804,30307804,,35000000,Feb 22 2002,R,Adapted screenplay,Horror/Thriller,Fiction,17,4.7,20268
The Princess Bride,30857000,30857000,,15000000,Sep 25 1987,,Adapted screenplay,Action/Adventure,Fiction,95,8.1,123571
Hearts in Atlantis,24185781,30885781,,31000000,Sep 28 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,49,6.8,16336
Love in the Time of Cholera,4617608,31077418,,45000000,Nov 16 2007,R,Adapted screenplay,Drama,Fiction,27,6.2,8580
The Iron Giant,23159305,31333917,,50000000,Aug 04 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,97,7.9,38791
Nick and Norah's Infinite Playlist,31487293,31487293,10327750,10000000,Oct 03 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,73,6.8,24021
Pinocchio,3681811,31681811,,45000000,Dec 25 2002,G,Adapted screenplay,Action/Adventure,Fiction,,3.5,3215
The Age of Innocence,32014993,32014993,,34000000,Sep 17 1993,,Adapted screenplay,Drama,Fiction,81,7.1,16000
Striptease,32773011,32773011,,50000000,Jun 28 1996,R,Adapted screenplay,Comedy,Fiction,12,3.9,18012
Mercury Rising,32983332,32983332,,60000000,Apr 03 1998,R,Adapted screenplay,Horror/Thriller,Fiction,17,5.8,21449
Confessions of a Dangerous Mind,16007718,33013805,,29000000,Dec 31 2002,R,Adapted screenplay,Drama,Non-Fiction,79,7.1,36258
Confessions of a Teenage Drama Queen,29331068,33051296,,15000000,Feb 20 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,13,4.3,9976
Hart's War,19076815,33076815,,70000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,58,6.2,19541
Blade Runner,32656328,33139618,,28000000,Jun 25 1982,R,Adapted screenplay,Horror/Thriller,Fiction,92,8.3,185546
The Town,30980607,33180607,,37000000,Sep 17 2010,R,Adapted screenplay,Drama,Fiction,84,8.7,493
The Bridge on the River Kwai,33300000,33300000,,3000000,Dec 18 1957,,Adapted screenplay,Drama,,95,8.4,58641
Wonder Boys,19389454,33422485,,35000000,Feb 23 2000,R,Adapted screenplay,Comedy,Fiction,81,7.5,31572
Pay it Forward,33508922,33508922,,40000000,Oct 20 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,40,6.8,36762
Because of Winn-Dixie,32647042,33589427,,15000000,Feb 18 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,53,6.1,3720
Nochnoy dozor,1502188,33923550,7476421,4200000,Feb 17 2006,Other,Adapted screenplay,Action/Adventure,Fiction,,6.5,25136
The Relic,33956608,33956608,,60000000,Jan 10 1997,R,Adapted screenplay,Horror/Thriller,Fiction,32,5.4,10249
Cirque du Freak: The Vampire's Assistant,14046595,34372469,6377527,40000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,37,6.1,9539
"Gone, Baby, Gone",20300218,34619699,11406490,19000000,Oct 19 2007,R,Adapted screenplay,Drama,Fiction,,,
Dangerous Liaisons,34700000,34700000,,14000000,Dec 21 1988,,Adapted screenplay,Drama,Fiction,93,7.7,25761
White Fang,34729091,34729091,,14000000,Jan 18 1991,,Adapted screenplay,Action/Adventure,Fiction,67,,
The Indian in the Cupboard,35627222,35627222,,45000000,Jul 14 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,68,5.7,4836
Taps,35856053,35856053,,14000000,Dec 09 1981,,Adapted screenplay,Drama,Fiction,79,6.5,6515
Alive,36299670,36299670,,32000000,Jan 15 1993,R,Adapted screenplay,Action/Adventure,Non-Fiction,71,3.2,124
The Thin Red Line,36400491,36400491,,52000000,Dec 23 1998,R,Adapted screenplay,Drama,Non-Fiction,78,7.5,60966
The Action/Adventures of Pinocchio,15382170,36682170,,25000000,Jul 26 1996,G,Adapted screenplay,Action/Adventure,Fiction,27,5.3,1734
Out of Sight,37562568,37562568,,48000000,Jun 26 1998,R,Adapted screenplay,Drama,Fiction,93,7.1,38263
How Stella Got Her Groove Back,37672944,37672944,,20000000,Aug 14 1998,R,Adapted screenplay,Drama,Fiction,49,5.1,3080
Emma,22231658,37831658,,5900000,Aug 02 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,,6.8,13798
The Running Man,38122000,38122000,,30000000,Nov 13 1987,,Adapted screenplay,Action/Adventure,Fiction,63,6.4,36308
Quest for Camelot,22772500,38172500,,40000000,May 15 1998,G,Adapted screenplay,Action/Adventure,Fiction,33,5,3053
The Missing,26900336,38253433,,65000000,Nov 26 2003,R,Adapted screenplay,Western/Musical,Fiction,59,7.4,19068
Conan the Barbarian,38264085,38264085,,20000000,May 14 1982,,Adapted screenplay,Action/Adventure,Fiction,76,6.8,38886
Someone Like You,27338033,38684906,,23000000,Mar 30 2001,PG/PG-13,Adapted screenplay,Comedy,Fiction,41,5.8,10073
Whale Rider,20779666,38833352,,4300000,Jun 06 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,90,7.7,21814
Yentl,39012241,39012241,,12000000,Nov 18 1983,,Adapted screenplay,Western/Musical,,71,6.2,4952
Primary Colors,39017984,39017984,,65000000,Mar 20 1998,R,Adapted screenplay,Comedy,Non-Fiction,80,6.7,15340
Thank You For Smoking,24793509,39232211,16660404,7500000,Mar 17 2006,R,Adapted screenplay,Comedy,Fiction,,7.8,65340
The Legend of Bagger Vance,30695227,39235486,,60000000,Nov 03 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,43,6.4,21995
Anna and the King,39251128,39251128,,75000000,Dec 17 1999,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,51,6.5,14881
The Secret Life of Bees,37766350,39612166,17077991,11000000,Oct 17 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,57,7,7077
Memento,25544867,39665950,,5000000,Mar 16 2001,R,Adapted screenplay,Drama,Fiction,,8.7,274524
The Beach,39778599,39778599,,50000000,Feb 11 2000,R,Adapted screenplay,Drama,Fiction,19,4.5,229
The Boy in the Striped Pyjamas,9030581,39830581,9647546,12500000,Nov 07 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,,7.8,21683
I Still Know What You Did Last Summer,40020622,40020622,,24000000,Nov 13 1998,R,Adapted screenplay,Horror/Thriller,Fiction,8,4.1,23268
Bless the Child,29374178,40435694,,40000000,Aug 11 2000,R,Adapted screenplay,Horror/Thriller,Fiction,3,4.8,7765
Where the Heart Is,33771174,40862054,,15000000,Apr 28 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,34,6.4,13302
Sisterhood of the Traveling Pants,39053061,41560117,,25000000,Jun 01 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,,,
Casino Royale,22744718,41744718,,12000000,Apr 28 1967,,Adapted screenplay,Comedy,Fiction,30,8,172936
Around the World in 80 Days,42000000,42000000,,6000000,Oct 17 1956,PG/PG-13,Adapted screenplay,Action/Adventure,,73,5.6,21516
A Good Year,7459300,42064105,7342760,35000000,Nov 10 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,24,6.8,23149
Freedom Writers,36605602,43090741,20532539,21000000,Jan 05 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,69,7.5,18065
In the Bedroom,35930604,43430604,,1700000,Nov 23 2001,R,Adapted screenplay,Drama,Fiction,93,7.5,20888
Exorcist: The Beginning,41814863,43957541,,78000000,Aug 20 2004,R,Adapted screenplay,Horror/Thriller,Fiction,,5,15901
The Last Emperor,43984000,43984000,,25000000,Nov 20 1987,,Adapted screenplay,Drama,Non-Fiction,91,7.9,24262
The Shining,44017374,44017374,,19000000,May 23 1980,,Adapted screenplay,Horror/Thriller,Fiction,87,8.5,177762
Hardball,40222729,44102389,,21000000,Sep 14 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,38,4.1,165
The Sisterhood of the Traveling Pants 2,44089964,44154645,15266725,27000000,Aug 06 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,64,6.2,6557
The Jungle Book,44342956,44342956,,27000000,Dec 25 1994,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,5.8,5564
Good Boy!,37667746,45312217,,17000000,Oct 10 2003,PG/PG-13,Adapted screenplay,Comedy,Fiction,45,5,1961
Firefox,45785720,45785720,,21000000,Jun 18 1982,,Adapted screenplay,Action/Adventure,Fiction,42,5.6,9348
The Rainmaker,45916769,45916769,,40000000,Nov 21 1997,PG/PG-13,Adapted screenplay,Drama,Fiction,84,6.9,20514
A Walk to Remember,41227069,46060915,,11000000,Jan 25 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,28,7.1,38045
For Love of the Game,35188640,46112640,,50000000,Sep 17 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,64,6.2,13612
The Nativity Story,37629831,46432264,26142500,35000000,Dec 01 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,37,6.6,4701
The Fantastic Mr. Fox,20999103,46467231,7571489,40000000,Nov 13 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,,
The Black Dahlia,22672813,46672813,12350794,60000000,Sep 15 2006,R,Adapted screenplay,Horror/Thriller,Fiction,33,5.6,35210
Goodfellas,46743809,46743809,,25000000,Sep 19 1990,,Adapted screenplay,Drama,Non-Fiction,97,8.8,229156
Eternal Sunshine of the Spotless Mind,34366518,47066518,,20000000,Mar 19 2004,R,Adapted screenplay,Comedy,Fiction,93,8.5,219986
The Wedding Date,31726995,47175038,,15000000,Feb 04 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,10,5.5,12205
High Fidelity,27277055,47881663,,20000000,Mar 31 2000,R,Adapted screenplay,Comedy,Fiction,92,7.6,69740
Malcolm X,48169910,48169910,,35000000,Nov 18 1992,,Adapted screenplay,Drama,Non-Fiction,90,7.7,23062
The Last King of Scotland,17606684,48363516,16836991,6000000,Sep 27 2006,R,Adapted screenplay,Drama,Non-Fiction,87,7.8,54022
Leaving Las Vegas,31983777,49800000,,4000000,Oct 27 1995,R,Adapted screenplay,Drama,Fiction,89,7.6,42131
Reds,50000000,50000000,,33500000,Dec 04 1981,,Adapted screenplay,Drama,Fiction,94,7.4,8455
Little Women,50003303,50003303,,15000000,Dec 21 1994,PG/PG-13,Adapted screenplay,Drama,Fiction,89,7.1,16514
Absolute Power,50068310,50068310,,50000000,Feb 14 1997,R,Adapted screenplay,Horror/Thriller,Fiction,46,6.5,20154
Fever Pitch,42071069,50071069,,40000000,Apr 08 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,,6.3,16736
Sphere,37068294,50168294,,73000000,Feb 13 1998,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,12,5.6,31461
K-PAX,50315140,50315140,,48000000,Oct 26 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,40,7.3,50475
A Bridge Too Far,50800000,50800000,,26000000,Jun 15 1977,,Adapted screenplay,Action/Adventure,,67,7.3,16882
Stand by Me,52287414,52287414,,8000000,Aug 08 1986,,Adapted screenplay,Drama,Fiction,94,8.2,90143
Ordinary People,52302978,52302978,,6000000,Sep 19 1980,,Adapted screenplay,Drama,Fiction,91,7,138
Pooh's Heffalump Movie,18098433,52858433,,20000000,Feb 11 2005,G,Adapted screenplay,Action/Adventure,Fiction,80,6.3,1605
Message in a Bottle,52880016,52880016,,30000000,Feb 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,31,5.6,13108
Into the Wild,18354356,53813837,15272435,20000000,Sep 21 2007,R,Adapted screenplay,Drama,Fiction,82,8.2,99464
The Verdict,53977250,53977250,,16000000,Dec 08 1982,,Adapted screenplay,Drama,Fiction,96,7.7,10864
The Borrowers,22619589,54045832,,29000000,Feb 13 1998,PG/PG-13,Adapted screenplay,Comedy,Fiction,,5.6,4340
The Count of Monte Cristo,54228104,54228104,,40000000,Jan 25 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,74,7.6,40605
The Mothman Prophecies,35228696,54639865,,42000000,Jan 25 2002,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,52,6.5,26948
The Mist,25593755,54777490,29059367,13000000,Nov 21 2007,R,Adapted screenplay,Horror/Thriller,Fiction,73,7.4,76830
Derailed,36020063,54962616,27718572,22000000,Nov 11 2005,R,Adapted screenplay,Action/Adventure,Fiction,20,3.4,3317
The Ant Bully,28142535,55181129,28562108,45000000,Jul 28 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,63,6.2,7766
Clueless,56598476,56598476,,13700000,Jul 01 1995,PG/PG-13,Adapted screenplay,Comedy,Fiction,83,6.7,39055
A Civil Action/Adventure,56709981,56709981,,60000000,Dec 25 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,61,6.4,14244
The Man in the Iron Mask,56968169,56968169,,35000000,Mar 13 1998,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,31,7.2,561
The Specialist,57362581,57362581,,45000000,Oct 07 1994,R,Adapted screenplay,Action/Adventure,Fiction,4,4.9,18749
Pet Sematary,57469179,57469179,,11500000,Apr 21 1989,,Adapted screenplay,Horror/Thriller,Fiction,50,6.3,19257
Inkheart,17303424,58051454,8342886,60000000,Jan 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,40,6.1,14157
Zathura,28045540,58545540,22025352,65000000,Nov 11 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,75,,
Must Love Dogs,43894863,58894863,,35000000,Jul 29 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,35,5.9,13491
Dr. No,16067035,59567035,,1000000,May 08 1963,,Adapted screenplay,Action/Adventure,,,7.3,36019
A Very Long Engagement,6167817,59606587,,55000000,Nov 26 2004,R,Adapted screenplay,Drama,Fiction,,,
Spartacus,30000000,60000000,,12000000,Oct 07 1960,,Adapted screenplay,Action/Adventure,Non-Fiction,96,8,50856
The Insider,28965197,60265197,,68000000,Nov 05 1999,R,Adapted screenplay,Drama,Non-Fiction,96,8,68747
Kiss the Girls,60527873,60527873,,27000000,Oct 03 1997,R,Adapted screenplay,Horror/Thriller,Fiction,32,6.4,20932
Marie Antoinette,15962471,60862471,16636006,40000000,Oct 20 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,55,6.4,31877
The 13th Warrior,32698899,61698899,,125000000,Aug 27 1999,R,Adapted screenplay,Action/Adventure,Fiction,33,6.3,36151
Flags of Our Fathers,33602376,61902376,45105366,53000000,Oct 20 2006,R,Adapted screenplay,Drama,Fiction,73,7.2,42788
Friday Night Lights,61255921,61950770,,30000000,Oct 08 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,81,7.2,20868
Captain Corelli's Mandolin,25528495,62097495,,57000000,Aug 17 2001,R,Adapted screenplay,Drama,Fiction,29,5.7,14706
Random Hearts,31054924,63200000,,64000000,Oct 08 1999,R,Adapted screenplay,Drama,Fiction,15,4.8,11100
The Ghost Writer,15541549,63241549,3354366,45000000,Feb 19 2010,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,84,7.6,22875
Precious (Based on the Novel Push by Sapphire),47566524,63471431,20130576,10000000,Nov 06 2009,R,Adapted screenplay,Drama,Fiction,,7.5,24504
High Crimes,41543207,63781100,,42000000,Apr 05 2002,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,31,6.1,14428
The Remains of the Day,22954968,63954968,,15000000,Nov 05 1993,,Adapted screenplay,Drama,Fiction,97,7.9,21736
Wag the Dog,43057470,64252038,,15000000,Dec 25 1997,R,Adapted screenplay,Drama,Fiction,84,7,36092
Without a Paddle,58156435,65121280,,30000000,Aug 20 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,15,5.7,17207
Se jie,4604982,65696051,,15000000,Sep 28 2007,R,Adapted screenplay,Drama,Fiction,,7.6,15440
K-19: The Widowmaker,35168966,65716126,,90000000,Jul 19 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Non-Fiction,61,6.5,22288
Legends of the Fall,66502573,66502573,,30000000,Dec 23 1994,R,Adapted screenplay,Drama,Fiction,63,7.1,39815
102 Dalmatians,66941559,66941559,,85000000,Nov 22 2000,G,Adapted screenplay,Comedy,Fiction,30,4.4,7147
The Men Who Stare at Goats,32428195,67348218,8155901,24000000,Nov 06 2009,R,Adapted screenplay,Comedy,Fiction,53,6.4,33763
Other Range,58328680,68293719,,26000000,Aug 15 2003,R,Adapted screenplay,Western/Musical,Fiction,79,7.5,26438
Practical Magic,46850558,68336997,,60000000,Oct 16 1998,PG/PG-13,Adapted screenplay,Comedy,Fiction,21,5.5,20196
Babe: Pig in the City,18319860,69131860,,80000000,Nov 25 1998,G,Adapted screenplay,Action/Adventure,Fiction,61,6.1,9918
Children of Men,35552383,69450202,25345271,76000000,Dec 25 2006,R,Adapted screenplay,Horror/Thriller,Fiction,93,8.1,158125
Lawrence of Arabia,37495385,69995385,,15000000,Dec 16 1962,,Adapted screenplay,Action/Adventure,Non-Fiction,98,8.6,79421
Born on the Fourth of July,70001698,70001698,,14000000,Dec 20 1989,,Adapted screenplay,Drama,Non-Fiction,89,7.2,32108
Curious George,58640119,70114174,47809786,50000000,Feb 10 2006,G,Adapted screenplay,Comedy,Fiction,69,6.7,5393
Babylon A.D.,22532572,70216497,16787309,45000000,Aug 29 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7,5.3,27189
What Dreams May Come,55485043,71485043,,80000000,Oct 02 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,55,6.6,30486
Rules of Engagement,61322858,71719931,,60000000,Apr 07 2000,R,Adapted screenplay,Horror/Thriller,Fiction,37,6.2,18462
Holes,67383924,72383924,,20000000,Apr 18 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,77,7.1,19388
The Last of the Mohicans,72455275,72455275,,40000000,Sep 25 1992,,Adapted screenplay,Action/Adventure,Fiction,97,7.8,45410
Jackie Brown,39673162,72673162,,12000000,Dec 25 1997,R,Adapted screenplay,Drama,Fiction,85,7.6,84068
